"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","slope","folded_aspect","tpi","tri","roughness","flowdir","ds"
"96",921,1254,1573,2089,3216,2917,0.140906608410705,0.279190563791797,0.211331058020478,1.32803560076287,0.343077886823972,-858.8596,4096.0843,-3232.1318,37.34,1653,5.08888754974322e-14,45,0,0,0,128,"BLM"
"97",1002,1373,1780,2346,3386,3044,0.13717886572952,0.256712626995646,0.20574336604871,1.31797752808989,0.310878823073945,-880.9176,4491.1654,-3347.4765,42.66,1805,0.675206005573273,0,0,0.25,2,128,"BLM"
"98",839,1042,1314,1719,2693,2335,0.13353115727003,0.305752680054356,0.200263721773529,1.30821917808219,0.344147741452458,-730.325,3411.3771,-2634.7313,37.34,1759,0.675206005573273,90,0,0.25,2,32,"BLM"
"99",651,927,1187,1674,2107,1776,0.170220202726319,0.311023119172308,0.255285689323781,1.41027801179444,0.279295689131755,-438.9894,2994.6485,-1975.1852,33.33,2021,6.42315101623535,173.990997314453,-1.75,2.75,10,8,"BLM"
"100",1237,1590,1880,2263,3239,2985,0.0924450881004103,0.224422829016758,0.138650898998431,1.20372340425532,0.265481539363157,-1120.7098,4599.2429,-3091.5551,30.66,1686,1.72100615501404,168.690063476562,0.125,0.625,2,16,"BLM"
"101",1144,1590,1977,2402,3240,2941,0.0970541219456497,0.186895338610378,0.145564562164631,1.21497218007081,0.242093156986774,-1025.4286,4694.028,-3074.932,21.33,1699,0.337614715099335,90,-0.125,0.125,1,128,"BLM"
"102",754,1073,1391,1994,3316,2863,0.178138847858198,0.321702944942382,0.267168808152415,1.43350107836089,0.408965370724453,-710.3442,3841.7342,-3385.0181,5.33,1881,2.26363611221313,26.5650520324707,-0.25,1,3,64,"BLM"
"103",822,1102,1409,2182,3273,2659,0.21526037315511,0.432133273703041,0.322845607684811,1.5486160397445,0.398120461341307,-565.9084,3973.0676,-3204.2329,10,1910,3.10963296890259,49.3987121582031,-0.125,1.375,4,64,"BLM"
"104",966,1306,1619,2206,3233,2732,0.153464052287582,0.313836612489307,0.230165991373677,1.36256948733786,0.332646331409728,-783.5482,4206.584,-3110.5381,25.34,1796,2.56950283050537,113.198577880859,-0.5,1,3,16,"BLM"
"105",1085,1463,1876,2450,3538,3089,0.132686084142395,0.257653290241494,0.199006125043338,1.30597014925373,0.306981898780938,-927.3734,4708.3237,-3430.9065,25.34,1794,0.675206005573273,0,0,0.25,2,128,"BLM"
"106",873,1167,1524,2206,3364,2710,0.1828418230563,0.354949515977933,0.274225975070366,1.44750656167979,0.376432078559738,-657.2896,4107.6033,-3261.6031,55.34,2007,5.60118198394775,32.7352294921875,1.25,2.5,8,128,"BLM"
"107",774,1111,1441,2031,3014,2420,0.169930875576037,0.302688282372255,0.254859611231102,1.40943789035392,0.353086419753086,-603.6878,3769.504,-2895.4889,32,2006,9.1369457244873,28.442928314209,0,4,12,1,"BLM"
"108",1025,1302,1622,2039,2987,2701,0.113903305107894,0.255233198677929,0.17083162638263,1.25709001233046,0.296159687567802,-905.453,4049.6609,-2902.2023,71.33,1529,5.4792685508728,132.510437011719,0.625,2.125,6,16,"BLM"
"109",1216,1606,1980,2462,3448,3060,0.108509680324178,0.230710319739613,0.16274620146314,1.24343434343434,0.270449521002211,-1051.0772,4835.5308,-3271.1858,38.67,1475,1.8175220489502,21.8014087677002,0.25,0.75,2,1,"BLM"
"110",1189,1631,2033,2500,3063,2852,0.103022281050077,0.201937213525902,0.154516378074335,1.22970978848992,0.202119309262166,-984.5634,4761.8003,-2859.736,42.66,1976,2.71992325782776,97.1250305175781,0.125,1.125,4,32,"BLM"
"111",999,1321,1706,2375,3649,3036,0.163930409213428,0.326692059771462,0.245865490628445,1.39214536928488,0.362838468720822,-811.8304,4519.5995,-3560.6798,0,1599,3.01696133613586,26.5650482177734,0,1.25,4,1,"BLM"
"112",1254,1664,2082,2572,3303,2922,0.105285775676837,0.21643109540636,0.157911698356429,1.23535062439962,0.226740947075209,-1014.3818,4933.3752,-3047.1531,30,1755,3.10963296890259,102.52880859375,-0.5,1.25,4,16,"BLM"
